DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KRW,KWD,MYR,NOK,NZD,OMR,PKR,QAR,SAR,SEK,SGD,THB,TRY,USD,ZAR
2022-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,20.6,54.43,0.0,200.75,59.98,79.18,0.0,11.01,81.79,96.62,9.77,60.2,0.0,247.07,0.0,7.99,49.6,196.58,0.0,20.65,20.18,7.8,55.88,0.0,0.0,77.2,4.79
2022-05-24,20.59,54.2,0.0,200.62,59.95,79.37,0.0,11.05,82.09,96.55,9.77,60.1,0.0,247.07,0.0,8.01,49.34,196.46,0.0,20.64,20.16,7.84,55.85,0.0,0.0,77.15,4.79
2022-05-25,20.59,54.04,0.0,200.62,59.69,79.45,0.0,11.0,81.7,95.9,9.77,60.36,0.0,247.2,0.0,7.98,49.49,196.45,0.0,20.66,20.16,7.78,55.76,0.0,0.0,77.15,4.83
2022-05-26,20.59,54.16,0.0,200.6,59.74,79.58,0.0,11.02,81.89,96.44,9.77,60.17,0.0,247.25,0.0,8.01,49.53,196.45,0.0,20.64,20.16,7.79,55.82,0.0,0.0,77.15,4.8
2022-05-27,20.6,54.62,0.0,200.72,60.19,79.88,0.0,11.06,82.14,96.77,9.77,60.41,0.0,247.45,0.0,8.05,49.95,196.58,0.0,20.67,20.18,7.8,56.02,0.0,0.0,77.2,4.83
2022-05-30,20.58,54.76,0.0,200.55,60.28,79.93,0.0,11.07,82.22,96.88,9.76,60.36,0.0,247.12,0.0,8.11,50.02,196.4,0.0,20.65,20.16,7.81,56.05,0.0,0.0,77.13,4.85
2022-05-31,20.62,54.96,0.0,200.85,60.59,79.84,0.0,11.05,82.12,96.72,9.78,59.99,0.0,247.27,0.0,8.15,49.94,196.7,0.0,20.64,20.19,7.83,56.02,0.0,0.0,77.25,4.85
2022-06-02,20.6,54.85,0.0,200.74,60.55,79.51,0.0,10.99,81.64,95.77,9.78,58.99,0.0,246.94,0.0,8.08,49.6,196.58,0.0,20.67,20.18,7.79,55.76,0.0,0.0,77.2,4.85
2022-06-03,20.56,55.44,0.0,200.35,60.91,79.84,0.0,11.08,82.29,96.31,9.76,59.03,0.0,246.83,0.0,8.18,50.12,196.2,0.0,20.61,20.14,7.91,55.89,0.0,0.0,77.05,4.89
2022-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,20.62,55.08,0.0,200.87,60.97,79.68,0.0,11.08,82.23,95.91,9.78,58.82,0.0,247.38,0.0,8.14,49.83,196.55,0.0,20.68,20.19,7.87,55.84,0.0,0.0,77.25,4.88
2022-06-07,20.64,55.06,0.0,201.07,60.94,78.83,0.0,11.04,82.01,95.73,9.79,57.88,0.0,247.14,0.0,8.12,49.49,196.89,0.0,20.72,20.21,7.83,55.81,0.0,0.0,77.33,4.89
2022-06-08,20.63,55.15,0.0,201.0,61.2,78.68,0.0,11.03,81.98,96.51,9.79,57.75,0.0,247.21,0.0,8.1,49.55,196.82,0.0,20.71,20.2,7.83,55.89,0.0,0.0,77.3,4.91
2022-06-09,20.64,55.0,0.0,201.13,61.19,78.49,0.0,11.09,82.38,96.38,9.79,57.34,0.0,247.14,0.0,8.12,49.47,196.96,0.0,20.72,20.21,7.83,55.89,0.0,0.0,77.35,4.96
2022-06-10,20.66,54.45,0.0,201.26,60.59,78.42,0.0,11.0,81.7,96.13,9.8,57.37,0.0,247.38,0.0,8.03,49.11,197.09,0.0,20.71,20.23,7.78,55.74,0.0,0.0,77.4,4.9
2022-06-13,20.76,54.13,0.0,202.25,60.32,78.05,0.0,10.91,81.01,95.01,9.85,57.34,0.0,248.29,0.0,7.92,48.92,198.05,0.0,20.84,20.33,7.69,55.62,0.0,0.0,77.78,4.77
2022-06-14,20.71,53.4,0.0,201.82,59.82,77.34,0.0,10.81,80.29,93.75,9.82,57.41,0.0,247.77,0.0,7.8,48.23,197.47,0.0,20.79,20.28,7.58,55.42,0.0,0.0,77.61,4.74
2022-06-15,20.71,53.08,0.0,201.78,59.55,77.06,0.0,10.83,80.43,92.77,9.82,57.12,0.0,247.3,0.0,7.73,47.96,197.6,0.0,20.77,20.28,7.59,55.45,0.0,0.0,77.6,4.76
2022-06-16,20.72,54.01,0.0,201.91,59.92,77.42,0.0,10.84,80.52,93.88,9.83,57.45,0.0,247.8,0.0,7.77,48.49,197.72,0.0,20.73,20.29,7.6,55.62,0.0,0.0,77.65,4.82
2022-06-17,20.72,54.04,0.0,201.91,59.55,79.44,0.0,10.92,81.11,94.81,9.83,57.55,0.0,247.95,0.0,7.74,48.8,197.72,0.0,20.9,20.29,7.6,55.74,0.0,0.0,77.65,4.75
2022-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-20,20.7,53.49,0.0,201.73,59.29,79.61,0.0,10.92,81.07,94.41,9.82,57.2,0.0,247.59,0.0,7.75,48.68,197.55,0.0,20.88,20.27,7.61,55.67,0.0,0.0,77.58,4.75
